career,experience,hoursPerDay,skills,target
Frontend Developer,Beginner,1,"Figma,Git,TensorFlow",Frontend Developer
Frontend Developer,Beginner,1,"Sketch,Vue,Node.js",Frontend Developer
Frontend Developer,Beginner,1,"Vue,Pandas,Angular",Frontend Developer
Frontend Developer,Beginner,1,"AWS,Kubernetes,React",Frontend Developer
Frontend Developer,Beginner,1,"Angular,Figma,NoSQL",Frontend Developer
Frontend Developer,Beginner,1,"Docker,Angular,Swift",Frontend Developer
Frontend Developer,Beginner,1,"Security,PostgreSQL,Microservices",Frontend Developer
Frontend Developer,Beginner,1,"PyTorch,NoSQL,GCP",Frontend Developer
Frontend Developer,Beginner,1,"Sketch,Swift,JavaScript",Frontend Developer
Frontend Developer,Beginner,1,"GCP,AWS,Azure",Frontend Developer
Frontend Developer,Beginner,2,"Vue,TensorFlow,Pandas",Frontend Developer
Frontend Developer,Beginner,2,"HTML,Microservices,CI/CD",Frontend Developer
Frontend Developer,Beginner,2,"Express,Microservices,NoSQL",Frontend Developer
Frontend Developer,Beginner,2,"MongoDB,Sketch,Security",Frontend Developer
Frontend Developer,Beginner,2,"PostgreSQL,NumPy,CSS",Frontend Developer
Frontend Developer,Beginner,2,"Swift,JavaScript,Scikit-Learn",Frontend Developer
Frontend Developer,Beginner,2,"Scikit-Learn,PyTorch,Node.js",Frontend Developer
Frontend Developer,Beginner,2,"Scikit-Learn,Security,Pandas",Frontend Developer
Frontend Developer,Beginner,2,"Microservices,JavaScript,APIs",Frontend Developer
Frontend Developer,Beginner,2,"Scikit-Learn,Security,TensorFlow",Frontend Developer
Frontend Developer,Beginner,3,"Vue,Kubernetes,Scikit-Learn",Frontend Developer
Frontend Developer,Beginner,3,"Kubernetes,Express,HTML",Frontend Developer
Frontend Developer,Beginner,3,"Docker,Security,JavaScript",Frontend Developer
Frontend Developer,Beginner,3,"PyTorch,MongoDB,SQL",Frontend Developer
Frontend Developer,Beginner,3,"Azure,AWS,Angular",Frontend Developer
Frontend Developer,Beginner,3,"Figma,Scikit-Learn,Sketch",Frontend Developer
Frontend Developer,Beginner,3,"Scikit-Learn,TensorFlow,APIs",Frontend Developer
Frontend Developer,Beginner,3,"Node.js,JavaScript,Docker",Frontend Developer
Frontend Developer,Beginner,3,"TensorFlow,GCP,PostgreSQL",Frontend Developer
Frontend Developer,Beginner,3,"PyTorch,Swift,Git",Frontend Developer
Frontend Developer,Beginner,4,"Sketch,CI/CD,NoSQL",Frontend Developer
Frontend Developer,Beginner,4,"CSS,Pandas,Express",Frontend Developer
Frontend Developer,Beginner,4,"PostgreSQL,Git,Security",Frontend Developer
Frontend Developer,Beginner,4,"NumPy,Azure,Angular",Frontend Developer
Frontend Developer,Beginner,4,"Git,SQL,React",Frontend Developer
Frontend Developer,Beginner,4,"Azure,CI/CD,Kubernetes",Frontend Developer
Frontend Developer,Beginner,4,"Microservices,Angular,HTML",Frontend Developer
Frontend Developer,Beginner,4,"HTML,TensorFlow,APIs",Frontend Developer
Frontend Developer,Beginner,4,"Swift,Git,Docker",Frontend Developer
Frontend Developer,Beginner,4,"Angular,TensorFlow,Pandas",Frontend Developer
Frontend Developer,Beginner,5,"Linux,CSS,GCP",Frontend Developer
Frontend Developer,Beginner,5,"Sketch,Docker,Pandas",Frontend Developer
Frontend Developer,Beginner,5,"MongoDB,Python,Linux",Frontend Developer
Frontend Developer,Beginner,5,"Git,React,Node.js",Frontend Developer
Frontend Developer,Beginner,5,"CI/CD,PostgreSQL,GCP",Frontend Developer
Frontend Developer,Beginner,5,"Linux,Security,Figma",Frontend Developer
Frontend Developer,Beginner,5,"Kubernetes,AWS,Scikit-Learn",Frontend Developer
Frontend Developer,Beginner,5,"CI/CD,CSS,Python",Frontend Developer
